Year,State,Female Total,Male Total,Total,Male (0 to 16),Male (17 to 25),Male (26 to 39),Male (40 to 64),Male (65 to 74),Male (75 or older),Female (0 to 16),Female (17 to 25),Female (26 to 39),Female (40 to 64),Female (65 to 74),Female (75 or older)
1989,ACT,10,22,32,1,13,4,3,1,,1,3,2,3,,1
1990,ACT,9,17,26,2,5,5,3,1,1,,1,3,2,2,1
1991,ACT,7,10,17,1,7,1,,1,,2,2,,,2,1
1992,ACT,4,16,20,2,3,4,3,4,,,,,1,1,2
1993,ACT,2,10,12,,6,1,3,,,,,1,,1,
1994,ACT,4,13,17,3,4,1,3,,2,,,,3,,1
1995,ACT,4,11,15,,5,4,1,,1,,,,1,2,1
1996,ACT,10,13,23,1,6,2,2,,2,4,3,,1,1,1
1997,ACT,5,12,17,1,6,4,,1,,1,1,2,1,,
1998,ACT,7,15,22,,9,1,3,,2,,2,,5,,
1999,ACT,5,14,19,,4,3,3,1,,,1,,1,1,2
2000,ACT,7,11,18,1,2,4,2,1,1,2,,3,1,,1
2001,ACT,2,14,16,,2,7,4,,1,,,1,,,1
2002,ACT,5,5,10,,2,1,1,,1,1,,,2,,2
2003,ACT,5,6,11,,1,4,1,,,2,1,1,1,,
2004,ACT,1,8,9,,1,3,2,1,1,,,1,,,
2005,ACT,10,16,26,,6,6,1,2,1,2,2,2,2,1,1
2006,ACT,2,11,13,,4,3,2,1,1,,,,,1,1
2007,ACT,7,7,14,,4,1,1,1,,,,3,2,2,
2008,ACT,5,9,14,,2,3,3,,1,1,,,,,4
2009,ACT,2,10,12,,2,3,5,,,,1,1,,,
2010,ACT,2,17,19,1,4,5,6,,1,,,1,,,1
2011,ACT,1,5,6,,1,2,2,,,,,,1,,
2012,ACT,2,10,12,1,1,2,4,,2,,,1,,1,
2013,ACT,4,3,7,,2,,,,1,,,1,1,,2
2014,ACT,1,9,10,,4,3,2,,,,,,,1,
2015,ACT,3,12,15,,3,3,4,1,1,1,,,,1,1
2016,ACT,3,7,10,,4,2,1,,,,,,2,,1
2017,ACT,,5,5,,2,2,,,1,,,,,,
2018,ACT,2,7,9,2,1,3,1,,,,,,2,,
2019,ACT,1,5,6,,,1,2,1,1,,,,1,,
2020,ACT,2,5,7,,1,2,2,,,1,,,,1,
2021,ACT,1,8,9,,3,,2,1,2,,,,,,1
1989,NSW,285,674,959,70,234,173,122,36,34,36,73,45,78,23,26
1990,NSW,221,576,797,48,192,138,128,34,34,26,58,33,48,30,25
1991,NSW,207,456,663,49,131,101,104,36,34,16,52,36,44,25,31
1992,NSW,186,463,649,36,135,125,103,34,28,19,48,28,43,19,27
1993,NSW,172,409,581,31,112,125,78,27,35,21,36,36,35,22,21
1994,NSW,219,427,646,36,129,102,86,37,37,32,41,37,52,29,28
1995,NSW,185,435,620,29,146,102,88,36,33,19,45,24,49,22,24
1996,NSW,168,413,581,40,121,99,95,20,38,19,30,33,37,23,25
1997,NSW,183,393,576,31,116,98,89,22,31,19,35,41,41,22,23
1998,NSW,173,383,556,29,109,92,92,26,29,17,30,31,43,21,27
1999,NSW,191,386,577,18,108,114,90,22,33,26,38,30,51,21,25
2000,NSW,165,438,603,27,129,104,110,28,40,15,40,30,38,22,20
2001,NSW,135,389,524,31,111,99,92,29,27,12,20,22,46,16,19
2002,NSW,152,409,561,23,98,108,117,25,37,7,28,24,45,19,29
2003,NSW,170,369,539,25,95,87,101,22,38,17,31,26,46,15,35
2004,NSW,158,352,510,18,80,97,102,19,36,17,35,22,37,18,28
2005,NSW,145,363,508,19,89,92,108,25,28,10,22,28,32,17,35
2006,NSW,122,374,496,28,110,93,88,29,26,13,32,17,32,15,13
2007,NSW,127,308,435,12,73,79,91,20,33,11,21,21,38,19,17
2008,NSW,90,284,374,14,71,61,89,19,30,3,20,14,26,13,14
2009,NSW,126,328,454,18,85,85,87,22,31,15,20,21,42,11,17
2010,NSW,109,296,405,10,73,69,101,17,26,7,27,15,24,18,17
2011,NSW,97,267,364,10,57,53,99,14,34,9,22,10,32,7,17
2012,NSW,102,267,369,15,66,58,82,22,24,7,17,15,24,13,25
2013,NSW,90,243,333,6,55,50,83,25,24,6,19,17,21,8,19
2014,NSW,96,211,307,6,49,41,70,22,22,6,18,13,27,11,21
2015,NSW,108,242,350,11,37,51,89,28,26,9,18,11,26,19,25
2016,NSW,97,283,380,16,65,52,95,24,31,2,14,20,23,16,22
2017,NSW,115,274,389,11,63,57,87,28,28,8,16,16,35,16,24
2018,NSW,84,263,347,8,56,53,80,31,35,3,22,15,20,9,15
2019,NSW,80,273,353,6,49,53,100,28,37,3,12,15,22,11,17
2020,NSW,79,205,284,7,38,54,66,15,25,8,15,22,14,8,12
2021,NSW,48,155,203,9,25,34,55,19,13,5,7,4,12,8,12
1989,NT,15,46,61,3,19,15,8,,1,2,1,10,1,1,
1990,NT,14,54,68,7,16,14,14,2,1,4,2,3,5,,
1991,NT,22,45,67,4,12,19,9,,1,4,7,9,2,,
1992,NT,16,38,54,,15,17,6,,,3,4,3,4,2,
1993,NT,8,36,44,6,9,10,10,1,,1,3,2,2,,
1994,NT,10,31,41,2,7,11,10,1,,,2,6,2,,
1995,NT,13,48,61,2,22,11,8,5,,1,4,4,4,,
1996,NT,13,59,72,5,12,21,19,2,,2,2,3,6,,
1997,NT,22,38,60,3,8,17,5,3,,5,2,7,8,,
1998,NT,17,52,69,4,12,18,17,1,,3,6,7,1,,
1999,NT,11,38,49,,20,14,4,,,2,3,4,1,,1
2000,NT,15,36,51,3,10,12,10,1,,3,6,5,1,,
2001,NT,20,30,50,1,10,9,9,,1,2,4,6,8,,
2002,NT,17,38,55,,8,18,10,1,1,3,5,7,2,,
2003,NT,16,37,53,5,10,12,6,1,1,2,4,7,3,,
2004,NT,13,22,35,,7,11,4,,,1,4,3,5,,
2005,NT,18,37,55,4,5,15,12,1,,4,,5,6,3,
2006,NT,12,33,45,,13,11,7,1,,2,1,4,3,,2
2007,NT,15,43,58,3,14,11,14,,,3,1,9,2,,
2008,NT,24,51,75,3,16,13,14,1,4,3,3,8,8,1,1
2009,NT,7,24,31,,7,8,7,2,,,2,2,3,,
2010,NT,12,38,50,4,10,11,10,3,,1,3,5,3,,
2011,NT,12,33,45,4,10,8,10,,1,2,3,2,4,1,
2012,NT,18,31,49,,4,11,13,2,1,3,1,6,7,,1
2013,NT,14,23,37,1,4,8,6,4,,2,2,5,4,1,
2014,NT,9,30,39,1,5,15,9,,,1,1,4,3,,
2015,NT,14,35,49,,9,16,8,2,,1,2,4,7,,
2016,NT,11,34,45,3,6,11,11,2,1,1,1,4,4,1,
2017,NT,7,24,31,2,7,8,7,,,,1,2,3,1,
2018,NT,21,29,50,3,2,13,8,2,1,,5,5,9,1,1
2019,NT,8,28,36,3,7,16,2,,,,,4,4,,
2020,NT,10,21,31,1,8,5,5,2,,1,2,4,2,,1
2021,NT,9,17,26,2,,8,6,1,,,,4,4,1,
1989,Qld,126,302,428,33,106,82,45,23,13,17,38,19,24,17,11
1990,Qld,135,264,399,33,90,64,43,15,19,12,40,22,32,10,19
1991,Qld,119,276,395,30,80,79,53,24,10,12,27,29,22,17,12
1992,Qld,127,289,416,33,94,77,51,11,23,15,36,22,26,18,10
1993,Qld,106,290,396,19,102,66,69,14,20,18,27,24,16,12,9
1994,Qld,125,293,418,26,79,80,68,24,16,14,31,23,28,20,9
1995,Qld,144,312,456,26,105,87,53,16,25,20,31,29,37,14,13
1996,Qld,117,268,385,27,93,62,58,13,15,13,21,25,30,10,18
1997,Qld,109,251,360,30,82,58,52,21,8,8,40,15,28,11,7
1998,Qld,81,197,278,20,65,43,40,14,15,10,20,17,19,5,10
1999,Qld,88,224,312,18,65,64,47,12,16,15,21,20,16,8,8
